reward_today,future_reward,key_resp.keys,key_resp.rt,,,
27,50,t,0.572864,,,
49,60,t,0.558545,,,
78,80,t,0.381967,,,
15,35,t,0.324223,,,
11,30,l,0.367037,,,
40,55,t,0.203183,,,
67,75,t,0.229537,,,
67,75,t,0.221743,,Value of K,0.3400902345
11,30,t,0.198148,,,
27,50,t,0.366765,,,
78,80,t,0.263321,,,
15,35,l,0.469669,,,
40,55,t,0.217603,,,
49,60,t,0.264837,,,
78,80,t,0.252648,,,
11,30,l,2.048351,,,
40,55,t,0.353136,,,
27,50,t,0.266069,,,
15,35,t,0.176588,,,
49,60,t,0.352376,,,
67,75,t,0.325705,,,
49,60,t,0.28803,,,
67,75,t,0.24671,,,
15,35,t,0.323453,,,
11,30,l,0.35383,,,
27,50,t,0.323152,,,
78,80,t,0.194381,,,
40,55,t,0.214745,,,
78,80,t,0.303349,,,
40,55,t,0.413954,,,
27,50,l,0.672748,,,
15,35,t,0.293602,,,
49,60,t,0.319255,,,
67,75,t,0.190441,,,
11,30,t,0.230947,,,
11,30,t,0.21039,,,
27,50,t,0.230562,,,
67,75,t,0.198075,,,
78,80,t,0.261854,,,
40,55,t,0.422968,,,
49,60,t,0.439262,,,
15,35,l,0.891784,,,
78,80,t,0.510187,,,
15,35,l,0.669848,,,
67,75,t,0.387318,,,
49,60,t,0.533822,,,
27,50,l,1.061906,,,
40,55,t,0.807358,,,
11,30,l,0.594159,,,
11,30,t,0.194664,,,
27,50,t,0.436203,,,
67,75,t,0.400832,,,
49,60,t,0.297939,,,
15,35,l,1.289382,,,
40,55,t,4.095465,,,
78,80,t,1.443267,,,
78,80,t,0.710799,,,
15,35,l,0.50564,,,
27,50,l,0.393976,,,
49,60,t,0.358032,,,
11,30,l,0.403968,,,
40,55,l,0.394646,,,
67,75,t,0.454265,,,
11,30,l,0.42971,,,
40,55,t,0.545922,,,
78,80,t,0.48071,,,
15,35,l,0.462697,,,
67,75,t,0.388988,,,
27,50,l,0.604973,,,
49,60,t,0.495169,,,
67,75,t,0.670139,,,
40,55,t,0.446305,,,
78,80,t,0.397457,,,
11,30,l,1.379413,,,
49,60,t,0.997771,,,
27,50,l,0.83891,,,
15,35,t,0.708035,,,
27,50,l,1.016826,,,
40,55,t,0.552532,,,
49,60,t,0.590965,,,
78,80,t,0.514684,,,
67,75,t,0.436117,,,
11,30,l,0.57874,,,
15,35,l,0.704987,,,
67,75,t,0.578098,,,
78,80,t,0.349827,,,
40,55,t,0.600174,,,
15,35,l,7.098071,,,
49,60,t,0.650834,,,
11,30,l,0.457946,,,
27,50,l,0.483627,,,
40,55,t,0.432776,,,
49,60,t,0.471869,,,
67,75,t,0.386377,,,
15,35,l,0.472331,,,
78,80,t,0.456498,,,
27,50,l,0.435812,,,
11,30,l,0.441116,,,
15,35,t,0.301347,,,